"新桐生駅"
"如来堂"
"相生町一丁目"
"ヤオコー前"
"厚生病院"
"市役所・市民文化会館前"
"新川公園前"
MEGAドン・キホーテ
"桐生駅北口着"
"桐生駅北口発"
MEGAドン・キホーテ
"末広町"
"本町五丁目"
"本町四丁目"
"本町三丁目"
"有鄰館前"
"本町二丁目"
"本町一丁目"
"群馬大学桐生正門前"
"天神町二丁目"
"天神町三丁目"
"梅田町一丁目"
"桐生女子高前"
"大門"
"居館"
"城山入口"
"観音橋"
"梅田公民館入口"
"梅田南小学校前"
"梅田中学校前"
"瀬場橋入口"
"橋詰"
"上ノ原"
"中居橋"
"猿石入口"
"二渡神社前"
"二渡神社入口"
"軍場"
"梅田大橋"
"台"
"野外活動センター入口"
"馬立集会所前"
"源蔵橋"
"梅田ふるさとセンター前"
