"梅田ふるさとセンター前",
"源蔵橋",
"馬立集会所前",
"野外活動センター入口",
"台",
"梅田大橋",
"軍場",
"二渡神社入口",
"猿石入口",
"中居橋",
"上ノ原",
"橋詰",
"瀬場橋入口",
"梅田中学校前",
"梅田南小学校前",
"梅田公民館入口",
"観音橋",
"城山入口",
"居館",
"大門",
"桐生女子高前",
"梅田町一丁目",
"天神町三丁目",
"天神町二丁目",
"群馬大学桐生正門前",
"本町一丁目",
"本町二丁目",
"有鄰館前",
"本町三丁目",
"本町四丁目",
"本町五丁目",
"末広町",
MEGAドン・キホーテ,
"桐生駅北口着",
"桐生駅北口発",
MEGAドン・キホーテ,
"新川公園前",
"市役所・市民文化会館前",
"厚生病院",
"ヤオコー前",
"相生町一丁目",
"如来堂",
"新桐生駅",
