"新桐生駅"
"桜木町"
"錦町三丁目"
"錦町二丁目"
"錦町一丁目"
"本町六丁目"
"末広町"
MEGAドン・キホーテ
"桐生駅北口発着"
MEGAドン・キホーテ
"末広町"
"本町五丁目"
"本町四丁目"
"本町三丁目"
"有鄰館前"
"本町二丁目"
"本町一丁目"
"群馬大学桐生正門前"
"天神町二丁目"
"天神町三丁目"
"梅田町一丁目"
"桐生女子高前"
"小松橋"
"上菱団地"
