"上菱団地"
"小松橋"
"桐生女子高前"
"梅田町一丁目"
"天神町三丁目"
"天神町二丁目"
"群馬大学桐生正門前"
"本町一丁目"
"本町二丁目"
"有鄰館前"
"本町三丁目"
"本町四丁目"
"本町五丁目"
"末広町"
MEGAドン・キホーテ
"桐生駅北口発着"
MEGAドン・キホーテ
"末広町"
"本町六丁目"
"錦町一丁目"
"錦町二丁目"
"錦町三丁目"
"桜木町"
"新桐生駅"
